name,size,percent_used,index_scans,seq_scans,unused
public.idx_analytics_events_name,120 kB,0%,0,0,t
public.idx_analytics_events_tenant,104 kB,100%,6,0,f
public.analytics_events_pkey,88 kB,0%,0,0,t
public.analytics_events_created_at_idx,72 kB,0%,0,0,t
public.analytics_events_event_type_idx,40 kB,0%,0,0,t
public.analytics_events_event_name_idx,40 kB,0%,0,0,t
public.analytics_events_tenant_id_idx,40 kB,100%,73,0,f
public.analytics_events_module_idx,32 kB,0%,0,0,t
public.recoltari_pkey,16 kB,100%,35,0,f
public.idx_vanzari_data,16 kB,100%,725,0,f
public.clienti_tenant_id_id_client_key,16 kB,0%,0,0,t
public.alert_dismissals_tenant_user_key_idx,16 kB,100%,179,0,f
public.alert_dismissals_tenant_id_user_id_alert_key_dismissed_on_key,16 kB,100%,120,0,f
public.idx_culegatori_activ,16 kB,0%,0,0,t
public.idx_recoltari_data,16 kB,100%,764,0,f
public.idx_recoltari_parcela,16 kB,100%,48,0,f
public.comenzi_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.idx_investitii_data,16 kB,100%,9,0,f
public.activitati_agricole_client_sync_id_uq,16 kB,100%,3,0,f
public.culegatori_pkey,16 kB,100%,60,0,f
public.idx_nomenclatoare_nivel,16 kB,0%,0,0,t
public.cheltuieli_diverse_pkey,16 kB,100%,26,0,f
public.idx_recoltari_culegator,16 kB,100%,17,0,f
public.clienti_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.parcele_pkey,16 kB,100%,56,0,f
public.investitii_pkey,16 kB,100%,20,0,f
public.comenzi_status_idx,16 kB,0%,0,0,t
public.idx_cheltuieli_data,16 kB,100%,5,0,f
public.miscari_stoc_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.tenant_metrics_daily_date_key_idx,16 kB,100%,33,0,f
public.audit_logs_target_tenant_idx,16 kB,100%,69,0,f
public.vanzari_butasi_items_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.audit_logs_pkey,16 kB,0%,0,0,t
public.miscari_stoc_pkey,16 kB,0%,0,0,t
public.idx_investitii_tenant,16 kB,100%,74,0,f
public.activitati_agricole_tenant_id_id_activitate_key,16 kB,0%,0,0,t
public.vanzari_butasi_items_pkey,16 kB,0%,0,0,t
public.idx_activitati_parcela,16 kB,100%,28,0,f
public.idx_nomenclatoare_tenant_tip,16 kB,100%,85,0,f
public.tenants_pkey,16 kB,100%,373,0,f
public.vanzari_butasi_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.idx_culegatori_tenant,16 kB,100%,55,0,f
public.idx_vanzari_client,16 kB,100%,13,0,f
public.vanzari_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.vanzari_butasi_tenant_id_id_vanzare_butasi_key,16 kB,0%,0,0,t
public.comenzi_client_idx,16 kB,0%,0,0,t
public.miscari_stoc_tenant_locatie_idx,16 kB,0%,0,0,t
public.vanzari_pkey,16 kB,100%,22,0,f
public.idx_vanzari_butasi_data,16 kB,100%,12,0,f
public.nomenclatoare_pkey,16 kB,100%,11,0,f
public.culegatori_tenant_demo_seed_idx,16 kB,0%,0,0,t
public.alert_dismissals_tenant_user_day_idx,16 kB,0%,0,0,t
public.cheltuieli_diverse_client_sync_id_uq,16 kB,100%,3,0,f
public.vanzari_butasi_pkey,16 kB,100%,79,0,f
public.alert_dismissals_user_tenant_idx,16 kB,100%,15,0,f
public.vanzari_butasi_items_tenant_id_idx,16 kB,100%,38,0,f
public.idx_vanzari_tenant,16 kB,100%,64,0,f
public.culegatori_tenant_id_id_culegator_key,16 kB,0%,0,0,t
public.cheltuieli_diverse_tenant_demo_seed_idx,16 kB,100%,1,0,f
public.idx_parcele_status,16 kB,0%,0,0,t
public.miscari_stoc_loc_prod_cal_data_idx,16 kB,100%,7,0,f
public.idx_activitati_data,16 kB,100%,22,0,f
public.idx_cheltuieli_tenant,16 kB,100%,169,0,f
public.idx_vanzari_butasi_tenant,16 kB,100%,86,0,f
public.vanzari_comanda_id_idx,16 kB,0%,0,0,t
public.recoltari_tenant_demo_seed_idx,16 kB,100%,18,0,f
public.cheltuieli_diverse_tenant_id_id_cheltuiala_key,16 kB,0%,0,0,t
public.comenzi_tenant_idx,16 kB,0%,0,0,t
public.profiles_pkey,16 kB,100%,21548,0,f
public.vanzari_client_sync_id_uq,16 kB,100%,5,0,f
public.profiles_is_superadmin_idx,16 kB,0%,0,0,t
public.clienti_pkey,16 kB,100%,805,0,f
public.idx_vanzari_butasi_client,16 kB,100%,17,0,f
public.comenzi_data_livrare_idx,16 kB,0%,0,0,t
public.tenant_metrics_daily_pkey,16 kB,0%,0,0,t
public.investitii_tenant_id_id_investitie_key,16 kB,0%,0,0,t
public.alert_dismissals_pkey,16 kB,0%,0,0,t
public.recoltari_client_sync_id_uq,16 kB,0%,0,0,t
public.idx_recoltari_tenant,16 kB,100%,72,0,f
